TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Washington Wizards,76,46,30,0.605,48.5,109.3,41.4,87.3,47.4,9.1,24.6,37.1,17.4,22.2,78.4,10.4,32.7,43.1,23.9,14.1,8.5,4.1,4.6,21.5,19.9,2.2
Utah Jazz,76,47,29,0.618,48.2,100.5,36.8,79.3,46.4,9.6,26,36.7,17.4,23.2,75,9.4,34,43.4,19.8,13.6,6.7,4.9,3.8,18.9,20.3,4.1
Toronto Raptors,76,46,30,0.605,48.3,107.2,39.1,84.5,46.3,8.9,24.3,36.7,20,25.2,79.7,10.8,32.7,43.4,18.4,12.7,8.2,5,4.8,21,20.5,4.2
San Antonio Spurs,75,58,17,0.773,48.3,106.1,39.4,83.6,47.1,9.1,23.5,39,18.1,22.5,80.1,10,33.9,43.8,24,13.4,8.1,5.9,3.9,18.5,20.1,7.8
Sacramento Kings,77,30,47,0.39,48.5,102.4,37.7,82.1,45.9,9,24.1,37.4,18.1,23.3,77.4,8.7,32.1,40.9,22.3,14.7,7.7,4,5.2,20.5,20.2,-4.2
Portland Trail Blazers,76,38,38,0.5,48.7,108.6,39.8,86.1,46.2,10.3,27.6,37.4,18.7,24.1,77.8,10.1,33.7,43.9,21.4,14,7.1,5,5.2,21.4,20,-0.6
Phoenix Suns,77,22,55,0.286,48.4,107.2,39.7,88.1,45.1,7.5,22.4,33.4,20.3,26.2,77.6,11.6,33,44.6,19.4,15.5,8.2,4.8,5.4,24.9,22.2,-5.9
Philadelphia 76ers,76,28,48,0.368,48.4,102.4,37.7,85.3,44.3,10.2,29.6,34.4,16.7,21.8,76.7,9.7,33.4,43.1,23.8,16.7,8.4,5.3,5.4,22,19.6,-5.3
Orlando Magic,77,27,50,0.351,48.3,100.9,38.3,87,44,8.4,26,32.5,15.8,21.4,74,10,33.3,43.2,22.1,13.3,7,4.9,5.2,19.3,18.8,-6.1
Oklahoma City Thunder,76,43,33,0.566,48.3,106.8,39.6,87.2,45.4,8.4,25.7,32.8,19.3,25.9,74.5,11.9,34.4,46.3,21,15.2,8,5,5.5,20.9,20.8,0.7
New York Knicks,77,29,48,0.377,48.5,104.6,39.6,88.6,44.7,8.7,24.7,35.1,16.8,21.2,79.3,11.8,33.4,45.2,21.8,13.9,7.1,5.6,4.5,20.5,18.5,-3.7
New Orleans Pelicans,76,33,43,0.434,48.6,104.1,38.9,86.8,44.9,9.5,26.9,35.3,16.7,22.4,74.6,8.6,35.6,44.2,22.7,13,7.8,5.7,4.3,18.3,19.4,-1.5
Minnesota Timberwolves,75,30,45,0.4,48.3,105.4,39.3,84.3,46.7,7.5,21.3,35.2,19.2,24.2,79.5,11.5,30.9,42.4,23.5,14.1,8,4.6,4.9,20.2,20.6,-0.7
Milwaukee Bucks,76,40,36,0.526,48.3,104.6,39.1,82.2,47.6,8.8,23.6,37.1,17.6,22.9,76.9,8.9,31.5,40.5,24.3,13.8,8.2,5.4,4.7,20.3,19.6,0.5
Miami Heat,76,37,39,0.487,48.2,102.6,38.9,85.8,45.4,9.7,26.9,36.1,15,21.4,70.3,10.7,33,43.7,21.1,13.4,7.2,5.7,4.9,20.6,18.6,0.9
Memphis Grizzlies,76,42,34,0.553,48.5,100.8,36.4,83.9,43.4,9.3,26.5,35,18.8,23.9,78.5,11,32.1,43,21.1,12.8,8,4.1,5.1,22.8,21.2,0.8
Los Angeles Lakers,76,21,55,0.276,48.1,104.7,39.2,87.4,44.9,9.1,26.1,34.7,17.2,22.8,75.5,11.3,32.1,43.5,20.9,15.2,8,3.9,5.3,21,18.7,-7.6
LA Clippers,78,47,31,0.603,48.2,108.5,39.4,83.2,47.4,10.3,27.4,37.6,19.4,26,74.5,9,34,43,22.4,13.1,7.4,4.3,3.2,20,22.4,3.6
Indiana Pacers,76,37,39,0.487,48.3,104.3,38.9,84.3,46.2,8.5,22.8,37.4,17.9,22.2,80.8,8.9,32.9,41.9,22.2,13.8,8.2,5,5.1,19.6,19.6,-1.2
Houston Rockets,76,51,25,0.671,48.3,115.3,40.3,87.1,46.3,14.4,40.1,36,20.3,26.4,76.8,10.9,33.3,44.2,25.2,15.2,8.3,4.3,5.1,20,20.5,6.3
Golden State Warriors,76,62,14,0.816,48.3,115.7,42.9,87,49.4,11.9,31.2,38.3,17.8,22.6,78.8,9.3,35,44.4,30.4,14.8,9.7,6.7,3.9,19.4,19.4,11.5
Detroit Pistons,77,35,42,0.455,48.3,101,39.7,88.5,44.9,7.5,23.1,32.6,14.1,19.5,72.1,10.9,34.7,45.6,21,11.9,7,3.9,4.1,18,17.6,-1.3
Denver Nuggets,75,35,40,0.467,48.2,111.5,41,87.6,46.8,10.6,28.6,37.1,18.8,24.4,77.3,12,34.3,46.3,25.2,15,6.9,3.9,4.9,19.3,20.3,0
Dallas Mavericks,75,31,44,0.413,48.3,97.9,36.2,82.2,44,10.6,29.6,35.9,14.9,18.6,80.2,7.8,30.6,38.4,20.5,11.8,7.6,3.7,3.5,19.2,19.7,-2.5
Cleveland Cavaliers,75,48,27,0.64,48.3,110,39.8,84.7,47,12.9,33.5,38.6,17.5,23.4,74.5,9.3,34.1,43.4,22.5,13.5,6.6,4,4.4,18,20.6,3.3
Chicago Bulls,76,37,39,0.487,48.3,102.4,38.5,86.8,44.3,7.4,22,33.4,18.1,22.8,79.4,12.3,33.6,45.9,22.4,13.5,7.8,4.8,4.6,17.7,18.9,-0.8
Charlotte Hornets,77,36,41,0.468,48.4,105.5,37.9,85.6,44.3,10.2,28.8,35.5,19.5,23.9,81.3,8.8,35.1,43.9,23.3,11.5,7,4.8,5.6,16.7,20.1,1
Brooklyn Nets,76,17,59,0.224,48.2,105.9,37.9,85.3,44.5,10.8,31.6,34.1,19.2,24.5,78.4,8.9,35,43.8,21.3,16.6,7.1,4.7,5.6,21.3,20.4,-7
Boston Celtics,77,50,27,0.649,48.2,107.8,38.6,84.9,45.4,11.9,33.1,36.1,18.7,23.1,81.1,9.1,32.8,41.9,25,13.4,7.5,4.2,5.1,20.5,20.2,2.8
Atlanta Hawks,76,39,37,0.513,48.5,103,38,84.4,45,8.8,25.9,34,18.1,25,72.6,10.3,33.9,44.3,23.3,15.8,8.3,4.9,5.3,18,21.7,-1.2
